date,m60,m120,vol60,size
2021-08-20,,,,
2021-08-23,,,,
2021-08-24,,,,
2021-08-25,,,,
2021-08-26,,,,
2021-08-27,,,,
2021-08-30,,,,
2021-08-31,,,,
2021-09-01,,,,
2021-09-02,,,,
2021-09-03,,,,
2021-09-06,,,,
2021-09-07,,,,
2021-09-08,,,,
2021-09-09,,,,
2021-09-10,,,,
2021-09-13,,,,
2021-09-14,,,,
2021-09-15,,,,
2021-09-16,,,,
2021-09-17,,,,
2021-09-22,,,,
2021-09-23,,,,
2021-09-24,,,,
2021-09-27,,,,
2021-09-29,,,,
2021-10-27,,,,
2021-10-28,,,,
2021-10-29,,,,
2021-11-01,,,,0.09857432662218545
2021-11-02,,,,0.09222420770721398
2021-11-03,,,,0.08882163938681242
2021-11-04,,,,0.08466970188758452
2021-11-05,,,,0.07957397469064145
2021-11-08,,,,0.07725959371989395
2021-11-09,,,,0.07183857808577379
2021-11-10,,,,0.06635264932300354
2021-11-11,,,,0.059718048514662024
2021-11-12,,,,0.052219979172218524
2021-11-15,,,,0.04581869266638136
2021-11-16,,,,0.03894519012857436
2021-11-17,,,,0.03136726531117459
2021-11-18,,,,0.024998775111651033
2021-11-19,,,,0.017978096864143603
2021-11-22,,,,0.01096128430884099
2021-11-23,,,,0.004408361316774962
2021-12-02,,,,-0.0010681918257630994
2021-12-03,,,,-0.007193488606692066
2021-12-06,,,,-0.01375778512338268
2021-12-07,,,,-0.02074575646568009
2021-12-08,,,,-0.027961572141787308
2021-12-09,,,,-0.03638861973592499
2021-12-10,,,,-0.04422288185192079
2021-12-13,,,,-0.053145483451568304
2021-12-14,,,,-0.061098589357238324
2021-12-15,,,,-0.06675971875859808
2021-12-16,,,,-0.07210636328561448
2021-12-17,,,,-0.07622798798796573
2021-12-20,,,,-0.08022587111717133
2021-12-23,,,-0.17404173400577055,-0.08528744638943261
2021-12-24,,,-0.1820498454080915,-0.0925676957444503
2021-12-27,,,-0.187134068124438,-0.09929611735284985
2021-12-28,,,-0.191993101041234,-0.10651680084583888
2021-12-29,,,-0.1971687632530059,-0.11324383773082466
2021-12-30,,,-0.20198113868957537,-0.11920130240273971
2021-12-31,,,-0.20577226090546324,-0.12402231710490524
2022-01-04,,,-0.20702993467118652,-0.12819875715251713
2022-01-05,,,-0.20461685920766068,-0.13119347997543993
2022-01-06,,,-0.20364285824857287,-0.1344425729905836
2022-01-07,,,-0.20103976211879865,-0.13639861203943054
2022-01-10,,,-0.19786061224380885,-0.1380236190288192
2022-01-11,,,-0.19122163054972643,-0.13738364221404115
2022-01-12,,,-0.18600890926602295,-0.13776935781855745
2022-01-13,,,-0.17775760761781198,-0.13660567576884242
2022-01-14,,,-0.1699828809891551,-0.13652691322209368
2022-01-17,,,-0.16404310397053104,-0.1370864968364677
2022-01-18,,,-0.15957925397631026,-0.13806301347439004
2022-01-27,,,-0.1545363374840298,-0.14003619278592275
2022-01-28,,,-0.1487458297192201,-0.14099581975205727
2022-02-07,,,-0.1445198791708625,-0.1420593204059023
2022-02-08,,,-0.13890597260456014,-0.1406397253004796
2022-02-09,,,-0.13407598967294654,-0.13926465038083144
2022-02-10,,,-0.12757001842246538,-0.136571687754873
2022-02-11,,,-0.1203765322796044,-0.1334716401802938
2022-02-14,,,-0.11568716900391568,-0.13203122646127258
2022-02-15,,,-0.11303401958587363,-0.13087528470921653
2022-02-16,,,-0.11026875203536483,-0.12916802646300957
2022-02-17,,,-0.10767727333840754,-0.12698060609286724
2022-02-18,,,-0.10556581149335546,-0.12540286428757955
2022-02-21,-0.08598577058080929,,-0.1025191751870072,-0.12344964010198325
2022-02-22,-0.08441904437197394,,-0.10068694921268563,-0.12257078064585983
2022-02-23,-0.0814750730674046,,-0.10030468508890518,-0.12244971796233686
2022-02-24,-0.0766807567201336,,-0.10054019634864064,-0.12247995604610347
2022-02-25,-0.06914614369906252,,-0.10307284792308813,-0.1237023367812982
2022-02-28,-0.06104482312283098,,-0.10656251337526979,-0.1259941807251133
2022-03-01,-0.051884905437757894,,-0.10944289640321292,-0.1281562886229722
