,0
AAPL,7
GOOG,10
MSFT,5
sh600009,11
sh600010,0
sh600011,1
sh600015,3
sh600016,3
sh600018,1
sh600019,9
sh600023,5
sh600025,7
sh600026,1
sh600027,9
sh600028,1
sh600029,4
sh600030,6
sh600031,2
sh600036,8
sh600039,3
sh600048,8
sh600050,3
sh600061,6
sh600066,10
sh600089,11
sh600111,0
sh600115,4
sh600150,9
sh600160,11
sh600161,4
sh600176,11
sh600183,4
sh600188,9
sh600219,3
sh600233,8
sh600276,2
sh600346,8
sh600362,3
sh600372,0
sh600377,7
sh600406,3
sh600415,0
sh600426,3
sh600436,2
sh600438,11
sh600482,9
sh600489,5
sh600515,4
sh600519,8
sh600522,11
sh600547,7
sh600570,6
sh600585,8
sh600588,2
sh600600,2
sh600660,8
sh600674,5
sh600690,8
sh600760,0
sh600803,9
sh600809,8
sh600845,4
sh600875,3
sh600886,5
sh600887,2
sh600893,0
sh600918,6
sh600919,1
sh600926,10
sh600958,6
sh600989,3
sh600999,6
sh601006,5
sh601009,1
sh601012,2
sh601018,9
sh601021,11
sh601058,8
sh601066,6
sh601077,1
sh601088,1
sh601100,2
sh601111,4
sh601127,4
sh601138,11
sh601166,8
sh601169,1
sh601186,3
sh601211,0
sh601225,1
sh601229,9
sh601236,2
sh601238,11
sh601288,5
sh601298,7
sh601318,6
sh601319,6
sh601328,7
sh601336,6
sh601360,0
sh601377,6
sh601390,3
sh601398,5
sh601456,2
sh601600,3
sh601601,8
sh601607,10
sh601618,3
sh601628,6
sh601633,2
sh601658,1
sh601668,3
sh601669,3
sh601688,6
sh601689,0
sh601698,4
sh601766,9
sh601788,2
sh601800,3
sh601808,9
sh601816,9
sh601818,3
sh601838,1
sh601857,5
sh601872,5
sh601877,6
sh601878,2
sh601881,6
sh601888,2
sh601898,1
sh601899,9
sh601901,0
sh601916,9
sh601919,10
sh601939,5
sh601985,5
sh601988,5
sh601995,2
sh601998,1
sh603019,0
sh603195,10
sh603259,2
sh603260,2
sh603288,6
sh603369,8
sh603392,4
sh603501,2
sh603799,2
sh603893,0
sh603986,11
sh603993,9
sh688008,0
sh688009,3
sh688012,0
sh688111,0
sh688126,6
sh688169,10
sh688256,11
sh688396,6
sh688981,6
SPY,7
sz000001,8
sz000002,2
sz000063,0
sz000100,0
sz000157,3
sz000166,6
sz000301,11
sz000333,8
sz000338,3
sz000408,3
sz000425,3
sz000538,8
sz000568,8
sz000596,8
sz000617,6
sz000625,4
sz000630,3
sz000651,8
sz000661,6
sz000708,3
sz000725,0
sz000768,2
sz000776,6
sz000792,2
sz000807,3
sz000858,6
sz000876,11
sz000895,3
sz000938,0
sz000963,11
sz000975,5
sz000977,0
sz000983,9
sz000999,10
sz001979,10
sz002001,8
sz002027,2
sz002028,10
sz002049,6
sz002142,8
sz002179,2
sz002230,0
sz002236,2
sz002241,4
sz002252,4
sz002304,2
sz002311,8
sz002352,2
sz002371,0
sz002384,4
sz002415,2
sz002422,4
sz002459,0
sz002460,0
sz002463,11
sz002466,2
sz002475,11
sz002594,2
sz002600,4
sz002601,8
sz002625,2
sz002648,3
sz002709,0
sz002714,10
sz002736,6
sz002916,4
sz002920,0
sz002938,4
sz003816,7
sz300014,2
sz300015,6
sz300033,6
sz300059,6
sz300122,2
sz300124,6
sz300251,11
sz300274,2
sz300308,11
sz300316,6
sz300347,2
sz300394,4
sz300413,0
sz300418,0
sz300442,0
sz300476,11
sz300498,10
sz300502,11
sz300628,2
sz300661,2
sz300750,6
sz300759,2
sz300760,8
sz300782,2
sz300803,6
sz300832,10
sz300866,2
sz300896,0
sz300999,6
sz302132,6
